AJAX--PICKERING
ALGOMA--MANITOULIN
ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE
BARRIE
BEACHES--EAST YORK
BRAMALEA--GORE--MALTON
BRAMPTON WEST
BRAMPTON--SPRINGDALE
BRANT
BRUCE--GREY--OWEN SOUND
BURLINGTON
CAMBRIDGE
CARLETON--MISSISSIPPI MILLS
CHATHAM--KENT--ESSEX
DAVENPORT
DON VALLEY EAST
DON VALLEY WEST
DUFFERIN--CALEDON
DURHAM
EGLINTON--LAWRENCE
ELGIN--MIDDLESEX--LONDON
ESSEX
ETOBICOKE CENTRE
ETOBICOKE NORTH
ETOBICOKE--LAKESHORE
GLENGARRY--PRESCOTT--RUSSELL
GUELPH
HALDIMAND--NORFOLK
HALIBURTON--KAWARTHA LAKES--BROCK
HALTON
HAMILTON CENTRE
HAMILTON EAST--STONEY CREEK
HAMILTON MOUNTAIN
HURON--BRUCE
KENORA--RAINY RIVER
KINGSTON AND THE ISLANDS
KITCHENER CENTRE
KITCHENER--CONESTOGA
KITCHENER--WATERLOO
LAMBTON--KENT--MIDDLESEX
LANARK--FRONTENAC--LENNOX AND ADDINGTON
LEEDS--GRENVILLE
LONDON NORTH CENTRE
LONDON WEST
LONDON--FANSHAWE
MARKHAM--UNIONVILLE
MISSISSAUGA EAST--COOKSVILLE
MISSISSAUGA SOUTH
MISSISSAUGA--BRAMPTON SOUTH
MISSISSAUGA--ERINDALE
MISSISSAUGA--STREETSVILLE
NEPEAN--CARLETON
NEWMARKET--AURORA
NIAGARA FALLS
NIAGARA WEST--GLANBROOK
NICKEL BELT
NIPISSING
NORTHUMBERLAND--QUINTE WEST
OAK RIDGES--MARKHAM
OAKVILLE
OSHAWA
OTTAWA CENTRE
OTTAWA SOUTH
OTTAWA WEST--NEPEAN
OTTAWA--ORLÉANS
OTTAWA--VANIER
OXFORD
PARKDALE--HIGH PARK
PARRY SOUND--MUSKOKA
PERTH--WELLINGTON
PETERBOROUGH
PICKERING--SCARBOROUGH EAST
PRINCE EDWARD--HASTINGS
RENFREW--NIPISSING--PEMBROKE
RICHMOND HILL
SARNIA--LAMBTON
SAULT STE. MARIE
SCARBOROUGH CENTRE
SCARBOROUGH SOUTHWEST
SCARBOROUGH--AGINCOURT
SCARBOROUGH--GUILDWOOD
SCARBOROUGH--ROUGE RIVER
SIMCOE NORTH
SIMCOE--GREY
ST. CATHARINES
ST. PAUL'S
STORMONT--DUNDAS--SOUTH GLENGARRY
SUDBURY
THORNHILL
THUNDER BAY--ATIKOKAN
THUNDER BAY--SUPERIOR NORTH
TIMISKAMING--COCHRANE
TIMMINS--JAMES BAY
TORONTO CENTRE
TORONTO--DANFORTH
TRINITY--SPADINA
VAUGHAN
WELLAND
WELLINGTON--HALTON HILLS
WHITBY--OSHAWA
WILLOWDALE
WINDSOR WEST
WINDSOR--TECUMSEH
YORK CENTRE
YORK SOUTH--WESTON
YORK WEST
YORK--SIMCOE
